article_id	text	is_feuilleton	feuilleton_id
thi_000004	den store engelske taler phillips carakteer-skildring af rapoleon bounaparte (efter hans forviisning til elba.) han er falden. - vi kunne nu standse forandet glimrende uhyre, der liig en kjempestatue hævede sig i veiret blandt os og tilbageviste med forfærdelse det opmærksomme øie, dets storhed, tildrog sig.	y	thi_napoleon-skildring
thi_000005	stor, skummel, og egen sad han paa thronen, liig en eremit indsluttet i sin egen originalitet førte han scepteret.	y	thi_napoleon-skildring
thi_000006	en fast, kjæk og selvstændig sjæl, en villie despotisk i sine befalinger; en sjælstyrke, der holdt skridt med udførelsen af hans planer, og en samvittighed bøielig for alt, naar det gjældte hans jnteresse- betegner omridset af denne sjeldne caracteer, maaske den meest overordentlige man nogensinde i denne verdens annaler saae regjere og - falde.	y	thi_napoleon-skildring
thi_000007	kastet ind i verden i midten af en revolution, der fremskyndede enhver sjælekrafts udvikling hos et folk, som intet overhoved erkjendte, begyndte han sin løbebane, som fremmed af fødsel og discippel, af medlidenhed.	y	thi_napoleon-skildring
thi_000008	med ingen anden ven end sit sværd og ingen i formue uden hans egne talenter, trængte han sig med hæftighed frem i de rækker, hvor rangformue og genie stode opstillede og al kappelysveeg for ham, som for en uforanderlig skjæbnes bydende vink. han kjendte ingen anden bevæggrund end jnteressen og anerkjendte intet andet criterion end lykken. han dyrkede ingen anden gud end ærgjærrigheden og med orientalsk andagt nedknælede han for denne hans afguds alter. som en følge heraf var der ingen troesbekjendel. se han jo bekjendte sig til, ingen meening han jo antog; i haab om et dynastie opretholdt han halvmaanen; for en skildsmisse skyld bøiede han sig for korset; fra st. ludvigs fader, og moderløse barn, blev han republikkens adopterede søn og med en fadermorders utaknemmelighed opreiste han paa thronens og tribunernes ruiner. dispotismens throne.	y	thi_napoleon-skildring
thi_000009	som erklæret catholik satte han paven i fængsel, som forestilt patriot udsuede han landet, og brutti navn greb han uden samvittighedsnag og uden skamrødme cæsars diadem.	y	thi_napoleon-skildring
thi_000010	ved hans politiske pantomine legede lykken den eenfoldige naar det gjaldt hans capriser. ved en let bedrørelse af ham styrtede throner omkuld; betlere regjærede; systemmer forsvandt; de vildeste theorier antoge hans luners farve. alt hvad der var ærværdigt af ælde og alt hvad der var nyt byttede med et dramas hurtighed plads med hinanden, endog et øiensynligt nederlag antog en seiers udseende; thi selve flugten fra egypten var det der afgjorde hans skjæbne og det allene deropløftede ham paa keiserthronen. men var hans lykke stor, var ogsaa hans sjæls anlæg udmærkede store. lynsnar fulgte udførelsen paa hans beslutninger; det var ham det samme at beslutte og at udføre. for mennesker af ringere sjælevner synes hans conbinationer: aldeles umuelige og hans planer aldeles uudførlige, men i hans haand bare deres udvortes simplicitetens præg og lykken retfærdiggjorde deres valg. hans person lignede hans sjæls caracteer; gav denne aldrig efter i cabinettet, bukkede hiin heller aldrig under i feldten.	y	thi_napoleon-skildring
thi_000011	naturen selv eiede ingen hindringer han jo formaaede at overvinde; tiden ingen modstand, som han ikke bragte til at vige; mellem alpernes klipper, i arabiens sandørkener eller under polernes snee, trodsede han kjæk faren og uddeelte sine befalinger med aandsnærværelse. hele europas faste land skjalv ved at beskue hans diærve planer og over at see dem, som et mirakkel, udførte. scepticitismen bøiede sig for hans kjæmpeforetagender, romance antog udseende af historie, der gaves jntet utroligt nok for at blive troet, eller for høit for forventningen: da europa saae en subaltern fra corfica svinge sit keiserlige banner over hendes ældste hovedstæder. oldtidens helligdomme bleve almindelige steder forhans undersøgelser, konger vare hans folk, nationer hans udsatte poster og han selv handlede med hoffer, kroner, leire, kirker og cabinetter, som med titulaire figurer paa et skakbredt. blandt alle disse omvæltninger stod han selv uforanderlig som diamantklippen. det var ham uden forskjæl enten han befandt sig i felten eller i forgemakket, i folkevrimmelen eller ved leveen; enten han bar jacobinerhuen eller jernkronen; enten han forskjød en braganza, eller ægtede en hapsburg; enten han afluttede freden med caren af rusland paa en tømmerslaade eller beskuede nederlaget ved leipzigs galier - han var altid den samme militaire despot. fra vuggen af opvoxet i leiren, var han tilden sidste time, armeens yndling og enten det var i leiren, eller i cabinettet bedrog han aldrig en ven eller forglemte en udviist tjeneste. af alle hans soldater forlod derfor ingen ham, for deres tjeneste ikke længere kunde gavne og deres første stipulation lød for deres favourits sikkerhed. thi de vidste vel, at var han end ødsel mod dem, var han en forøder mod sig selv og udsatte han dem for farer, lønnede han dem derfor med plyndret gods. for soldatens skyld lagde han ethvert folk under contribution. for folket opoffrede han endog noget af sin stolthed. den seirende veteraner glimrede med hans bytte og hovedstaden prydet med plyndrede konstværker blev verdens miniatur=hovedstad. j skildringen af denne forunderlige sammensatte caracteer maae ikke hans forestillelse glemmes: skjøndt han var pressens fangevogter, affecterede han dog at være videnskabernes beskytter; hav confiskerede bøger, og opmuntrede philosophien; han forfulgte forfattere og blev selv bogtrykkernes morder og dog foregav han at beskytte de lærde. endskjøndt han var palms snigmorder, paabød de stael taushed og blev kotzebues angiver, var han dog davids ven, de lilles velgjører og sendte hans academiske premie til philosophen i engeland. en saadan blanding af modsigelser og paa samme tid en saadan selvstændighed, fandtes aldrig før forenede i en og samme caracteer: som royalist, republikaner og keiser; som mahomedaner, catholik og synagogernes beskytter; som subaltern og monark, som forræder og tyran; som christen og vantroe - var han dog gjennem alle livets omvexlinger den samme alvorlige, utaalmodige og ubøielige original. det samme hemmelighedsfulde, ubegribelige væsen - manden uden lige og uden skygge! hans fald liig hans hele liv lod sig ikke forudberegne. kort sagt hans hele livs historie forekom verden som en drøm og ingen kan sige hvorledes eller hvordan man blev opvakt af denne underfulde phantasie.	y	thi_napoleon-skildring
thi_000012	dette er et mat og svagt malerie af napoleon bounaparte den første og som man vil haabe den sidste keiser af frankerig.	y	thi_napoleon-skildring
thi_000013_a	at han har virket meget ondt derom er ingen tvivl, ligesaalidet som at han har været et redskab til meget godt. ved hans hjælp, enten det var plan eller ikke, bleve spanien, portugal og frankerige, velsignede med en frie constitution. overtroen fandt sin grav under jnqvisitionens ruiner og fendal systemmet med det hele slængaf tyraniske drabantere er flygtet for bestandig. kongerne kunde lære af ham: at deres vigtigste og ædleste studium er folkets lykke, og folket: at der gives ingen saa stor despotisme, der jo ogsaa er et hjælpemiddel derimod, og for dem, der ville hæve sig paa begges ruineer, er han et levende exempel: at kan end ærgjerligheden hæve mennesket fra den laveste stilling i veiret, kan den ogsaa nedstyrte det fra den høieste.	y	thi_napoleon-skildring
